Bakery and farinaceous products            ,8,0,0,0,8,1,2,4,1,0,4,4,68,4,0,1,3,0,1,1,0,1,2,1,6,1,1,1,0,2,0,4,3,1,0,33,2,0,0,3,1,1,9,0,2,0,2,1,0,0,1,8,2,1,1,5,0,4,6,573,1110,7,6,9,9,8,24,306,822,2,11,15,8,1,38,17,9,0,0,3,6,7,8,2,6,7,1,1,20,2,3,11,16,2,78,91,200,1,3,5,10,3,1,0
Other food products             ,21,0,4,0,25,0,2,277,271,0,142,277,655,2459,185,131,665,0,3,2,0,3,7,6,10,5,4,9,4,0,0,28,7,63,19,22,15,0,0,8,4,9,18,0,0,0,3,4,0,0,0,27,10,4,4,12,0,142,31,319,1149,14,23,22,20,53,52,320,901,5,48,56,23,3,107,23,22,0,0,10,10,33,33,7,18,22,5,2,68,15,7,29,56,7,138,223,472,8,7,33,37,18,1,1
Prepared animal feeds             ,2620,0,111,0,0,0,0,104,0,0,0,1,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,9,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,63,24,6,0,75,0,0,0
Alcoholic beverages              ,0,0,0,0,0,0,0,0,0,0,0,22,0,18,79,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,160,302,8,0,18,17,43,22,3599,11987,0,47,18,0,0,59,8,8,0,0,9,11,24,2,6,18,11,0,0,19,10,4,15,31,0,5,0,95,10,6,39,41,276,0,6
Soft drinks              ,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,43,56,9,3,2,9,43,31,91,366,0,98,15,2,0,58,8,6,0,1,10,3,16,1,2,7,11,0,0,23,4,1,12,20,9,46,2,79,15,6,34,76,28,0,2
Tobacco products              ,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,20,0,0
Textiles               ,137,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1556,1272,48,0,39,1,0,0,11,20,0,0,0,0,93,20,0,0,0,0,2,1,0,0,399,0,16,0,252,32,0,1,0,0,0,0,0,0,0,246,132,202,371,2,9,2,9,11,28,36,85,1,17,6,7,2,41,21,0,1,1,10,2,5,2,9,7,4,1,10,11,2,0,32,6,37,98,216,89,5,3,11,26,9,0,50
Wearing apparel              ,0,2,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,2,9,9,0,2,0,2,2,5,5,16,0,4,2,2,2,9,2,2,0,0,2,2,4,2,2,2,2,0,5,4,0,2,11,2,495,69,254,59,0,0,4,6,2,0,11
Leather and related products            ,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,104,0,93,2,0,0,0,0,0,0,3,0,0,26,435,101,154,4,16,0,4,4,19,36,104,0,32,23,5,1,15,6,7,1,0,1,1,7,3,9,6,6,1,2,15,1,5,17,13,235,68,2,93,4,3,10,19,12,0,31
"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",25,5,0,11,10,7,2,20,0,0,12,1,3,8,3,15,12,3,8,0,0,2218,71,1,0,7,0,0,2,30,0,4,18,78,0,3,6,7,127,21,26,41,215,90,15,0,626,33,23,1,7,8,0,0,1,6,0,3956,19,54,72,4,3,2,0,17,10,23,59,3,17,17,11,1,7,58,13,1,3,16,6,13,12,6,7,4,0,12,15,2,1,64,12,17,165,3,40,4,3,11,10,10,0,3
